sequence,open_time,close,ema9,ema26,crossover_type,days_from_start,price_diff_abs
1,2025-01-31 16:30:00,3403.09,3398.922,3398.265925925926,金叉,-0.3125,0.0
2,2025-01-31 17:30:00,3375.88,3394.0028800000005,3396.519511253366,死叉,-0.2708333333333333,27.210000000000036
3,2025-02-03 16:00:00,2698.0,2637.471666437832,2631.570828420325,金叉,2.6666666666666665,677.8800000000001
4,2025-02-04 06:00:00,2696.71,2758.548931335349,2767.5592932335567,死叉,3.25,1.2899999999999636
5,2025-02-04 12:00:00,2788.32,2748.877874564393,2748.309634667885,金叉,3.5,91.61000000000013
6,2025-02-04 21:00:00,2700.1,2763.6666405304068,2773.605677566746,死叉,3.875,88.22000000000025
7,2025-02-05 06:00:00,2760.2,2741.453754280979,2740.4413296086223,金叉,4.25,60.09999999999991
8,2025-02-05 17:30:00,2740.69,2768.2955815287914,2770.2020916733636,死叉,4.729166666666667,19.509999999999764
9,2025-02-05 21:30:00,2787.0,2768.8765780763424,2767.4096596515546,金叉,4.895833333333333,46.309999999999945
10,2025-02-05 22:30:00,2760.1,2766.2626099688596,2766.6007370126495,死叉,4.9375,26.90000000000009
11,2025-02-05 23:30:00,2788.25,2770.6372703800703,2768.1714137625595,金叉,4.979166666666667,28.15000000000009
12,2025-02-06 12:30:00,2770.88,2809.028834033536,2811.244600285109,死叉,5.520833333333333,17.36999999999989
13,2025-02-07 09:00:00,2736.7,2719.57809259226,2717.840744280167,金叉,6.375,34.18000000000029
14,2025-02-07 16:30:00,2693.86,2734.1617073797556,2735.9513376993045,死叉,6.6875,42.83999999999969
15,2025-02-08 18:30:00,2631.63,2621.436782391084,2621.1035094608396,金叉,7.770833333333333,62.23000000000002
16,2025-02-09 13:30:00,2618.38,2648.8387783992057,2652.065674275788,死叉,8.5625,13.25
17,2025-02-10 05:30:00,2638.4,2624.1555276739036,2623.5483332313825,金叉,9.229166666666666,20.019999999999982
18,2025-02-11 13:00:00,2675.52,2693.2487723801414,2693.4978486721448,死叉,10.541666666666666,37.11999999999989
19,2025-02-12 08:30:00,2629.94,2615.8533028512593,2615.556499838845,金叉,11.354166666666666,45.57999999999993
20,2025-02-12 14:00:00,2570.37,2613.8580235897302,2617.49579101201,死叉,11.583333333333334,59.570000000000164
21,2025-02-12 17:00:00,2683.2,2627.7943542159064,2620.4167160809134,金叉,11.708333333333334,112.82999999999993
22,2025-02-13 08:00:00,2676.15,2698.805522604673,2701.8845514898658,死叉,12.333333333333334,7.049999999999727
23,2025-02-13 22:30:00,2668.78,2658.1996571130976,2657.987313651256,金叉,12.9375,7.369999999999891
24,2025-02-15 05:30:00,2722.46,2724.4468283106685,2724.635258005636,死叉,14.229166666666666,53.679999999999836
