sequence,open_time_china,close,ema9,ema26,crossover_type,price_diff_abs,prev_crossover_time
7,2024-01-04 14:30:00,2238.8,2232.776337103036,2232.4197314091693,金叉,95.25,2024-01-03 19:00:00
26,2024-01-12 06:00:00,2600.12,2607.53827868502,2607.7897263744276,死叉,282.46000000000004,2024-01-10 05:30:00
51,2024-01-24 08:30:00,2244.43,2228.5362306544566,2227.685642609367,金叉,227.1500000000001,2024-01-22 03:00:00
96,2024-02-13 23:00:00,2636.54,2648.7736854083005,2649.9723794805946,死叉,108.34000000000015,2024-02-12 22:30:00
98,2024-02-16 16:30:00,2816.1,2827.4333687286544,2828.947038671847,死叉,174.92999999999984,2024-02-14 13:30:00
102,2024-02-20 11:30:00,2907.0,2924.919718032681,2927.4980437777435,死叉,127.67000000000007,2024-02-18 04:30:00
107,2024-02-21 03:30:00,2985.98,2940.4794892357145,2933.4421245918193,金叉,88.82999999999993,2024-02-21 00:30:00
114,2024-02-26 17:00:00,3056.93,3091.141519306563,3092.10817298495,死叉,105.32999999999993,2024-02-24 13:00:00
116,2024-02-29 04:00:00,3259.88,3317.0401823293464,3321.3408969154993,死叉,139.05000000000018,2024-02-26 23:00:00
117,2024-02-29 06:30:00,3340.33,3325.2354805456807,3322.9333156874195,金叉,80.44999999999982,2024-02-29 04:00:00
126,2024-03-06 02:00:00,3648.61,3703.680752953642,3707.574267204119,死叉,206.23000000000002,2024-03-03 20:00:00
127,2024-03-06 13:00:00,3742.0,3594.4629121557136,3582.856634008417,金叉,93.38999999999987,2024-03-06 02:00:00
141,2024-03-16 03:00:00,3770.99,3724.944433439719,3720.1474818414904,金叉,205.33000000000038,2024-03-13 21:30:00
142,2024-03-16 03:30:00,3689.54,3717.863546751775,3717.8802609643426,死叉,81.44999999999982,2024-03-16 03:00:00
145,2024-03-17 19:00:00,3580.75,3559.8056175847087,3558.387998814901,金叉,131.05000000000018,2024-03-16 18:00:00
149,2024-03-20 18:00:00,3247.19,3211.264024335587,3210.603060085277,金叉,321.52999999999975,2024-03-18 16:00:00
150,2024-03-22 01:30:00,3472.99,3507.717488480277,3512.129656168642,死叉,225.79999999999973,2024-03-20 18:00:00
153,2024-03-23 15:00:00,3368.5,3338.4402004300664,3337.5569628354297,金叉,97.98999999999978,2024-03-22 17:30:00
156,2024-03-26 22:00:00,3562.48,3620.195781752239,3624.9406853089777,死叉,197.4000000000001,2024-03-24 17:30:00
159,2024-03-27 21:00:00,3659.09,3595.6233850400317,3591.258896238111,金叉,83.09000000000015,2024-03-27 15:00:00
160,2024-03-27 22:00:00,3535.56,3578.848566425621,3585.3910152933054,死叉,123.5300000000002,2024-03-27 21:00:00
179,2024-04-03 11:00:00,3304.4,3291.9257693369364,3291.737942706539,金叉,308.6100000000001,2024-04-01 10:30:00
190,2024-04-09 15:30:00,3641.81,3668.322408253314,3672.1919200020116,死叉,243.28999999999996,2024-04-08 04:00:00
191,2024-04-10 14:30:00,3538.81,3526.8546988931075,3526.387414866256,金叉,103.0,2024-04-09 15:30:00
199,2024-04-13 20:30:00,3277.8,3267.3957613456923,3265.8955133555746,金叉,219.92999999999984,2024-04-12 20:30:00
201,2024-04-14 15:30:00,3084.2,3058.85916747196,3057.329701813244,金叉,161.6500000000001,2024-04-14 00:30:00
214,2024-04-21 22:00:00,3154.12,3160.12417623592,3160.6713132681516,死叉,88.17999999999984,2024-04-20 22:30:00
228,2024-04-29 07:00:00,3269.38,3300.483760343194,3305.3046512078677,死叉,136.6800000000003,2024-04-27 20:00:00
231,2024-05-02 02:30:00,2990.04,2929.4542525465495,2923.7949625313454,金叉,185.1500000000001,2024-04-30 12:00:00
232,2024-05-02 10:00:00,2906.59,2938.2121982572157,2939.8732488640126,死叉,83.44999999999982,2024-05-02 02:30:00
245,2024-05-09 12:00:00,2997.3,2993.2210212847253,2992.6249364375863,金叉,78.60999999999967,2024-05-07 20:30:00
249,2024-05-12 00:00:00,2928.64,2915.7413625883705,2914.308452625365,金叉,88.57000000000016,2024-05-10 21:00:00
262,2024-05-16 20:00:00,2993.26,3003.4919320178847,3004.6700665851217,死叉,89.45000000000027,2024-05-15 12:30:00
264,2024-05-19 14:30:00,3110.0,3118.7698489559066,3119.068008354566,死叉,80.86999999999989,2024-05-17 15:00:00
268,2024-05-22 15:30:00,3746.79,3760.4878484775704,3762.34903460037,死叉,635.5700000000002,2024-05-20 23:00:00
274,2024-05-24 13:30:00,3728.47,3786.199614922489,3793.5789663030437,死叉,81.73000000000002,2024-05-24 09:30:00
286,2024-05-28 04:00:00,3895.79,3915.5443298267937,3916.450077521901,死叉,124.19999999999982,2024-05-26 11:30:00
313,2024-06-09 15:00:00,3688.0,3682.018630278956,3681.1799712986303,金叉,116.21000000000004,2024-06-07 23:00:00
317,2024-06-12 12:00:00,3526.15,3503.653735790726,3502.824985712039,金叉,140.32999999999993,2024-06-11 04:00:00
339,2024-06-25 07:00:00,3341.42,3327.0171386787147,3324.9596802392016,金叉,156.96000000000004,2024-06-23 18:00:00
