sequence,open_time_china,close,ema9,ema26,crossover_type,price_diff_abs,sequence_interval,time_interval_days,time_interval_hours
6,2023-07-04 06:30:00,1955.34,1959.4690638565874,1959.8122065516718,死叉,31.069999999999936,0,0.0,0.0
11,2023-07-06 13:30:00,1921.78,1913.9190076106217,1912.7812459427487,金叉,31.559999999999945,5,2.2916666666666665,55.0
13,2023-07-07 21:30:00,1873.23,1863.9944345378806,1863.0944257853891,金叉,27.86999999999989,2,1.3333333333333333,32.0
28,2023-07-15 01:00:00,1968.39,1989.9380276001843,1992.4849809903465,死叉,85.52000000000021,15,7.145833333333333,171.5
111,2023-08-19 23:00:00,1668.63,1663.2064047632089,1662.3658814832693,金叉,174.54999999999995,83,35.916666666666664,862.0
117,2023-08-23 14:00:00,1638.8,1635.7138545302475,1635.6525580483726,金叉,28.0,6,3.625,87.0
118,2023-08-24 17:30:00,1667.59,1672.7978321199148,1673.1379804338492,死叉,28.789999999999964,1,1.1458333333333333,27.5
131,2023-08-29 22:00:00,1695.93,1654.939423346822,1650.4695131487156,金叉,48.40000000000009,13,5.1875,124.5
135,2023-09-02 12:00:00,1632.32,1630.7353590439955,1630.5936666650832,金叉,68.86000000000013,4,3.5833333333333335,86.0
167,2023-09-12 11:30:00,1584.81,1565.857203169021,1563.3025109184396,金叉,47.26999999999998,32,9.979166666666666,239.5
187,2023-09-22 12:00:00,1593.93,1591.22934259255,1591.0055048895115,金叉,46.18999999999983,20,10.020833333333334,240.5
208,2023-10-01 07:00:00,1670.17,1675.9961483196464,1676.7278170850661,死叉,64.15000000000009,21,8.791666666666666,211.0
211,2023-10-02 06:00:00,1725.4,1686.452105911018,1682.300616643949,金叉,52.56000000000017,3,0.9583333333333334,23.0
213,2023-10-04 20:00:00,1648.64,1646.8709043529298,1646.688127233557,金叉,63.59999999999991,2,2.5833333333333335,62.0
229,2023-10-10 14:30:00,1589.97,1585.710234386453,1585.041077632782,金叉,39.399999999999864,16,5.770833333333333,138.5
250,2023-10-17 14:00:00,1584.58,1588.9751508195898,1589.388569564837,死叉,27.84999999999991,21,6.979166666666667,167.5
254,2023-10-21 10:00:00,1597.79,1602.924772355721,1603.5780744638914,死叉,36.809999999999945,4,3.8333333333333335,92.0
258,2023-10-25 00:00:00,1781.11,1805.1074580525215,1806.041415088724,死叉,145.28999999999996,4,3.5833333333333335,86.0
273,2023-10-30 16:30:00,1818.7,1793.7111960218256,1790.9307891223739,金叉,35.539999999999964,15,5.6875,136.5
284,2023-11-06 06:00:00,1875.84,1881.7283496841465,1882.4529906954233,死叉,65.50999999999999,11,6.5625,157.5
294,2023-11-10 22:00:00,2074.35,2085.9600977647324,2087.7704082515106,死叉,188.79999999999995,10,4.666666666666667,112.0
305,2023-11-13 09:00:00,2072.74,2054.6035612715186,2052.783543165758,金叉,28.059999999999718,11,2.4583333333333335,59.0
306,2023-11-13 12:00:00,2044.39,2051.6843812459615,2052.75556605542,死叉,28.34999999999968,1,0.125,3.0
311,2023-11-15 19:00:00,2006.51,1990.7151003890017,1989.3145078911014,金叉,62.33999999999992,5,2.2916666666666665,55.0
312,2023-11-16 18:30:00,2038.58,2046.2614217837086,2047.1237488113889,死叉,32.069999999999936,1,0.9791666666666666,23.5
313,2023-11-16 19:00:00,2072.2,2051.449137426967,2048.981248899434,金叉,33.61999999999989,1,0.020833333333333332,0.5
314,2023-11-16 21:00:00,2034.75,2048.950350690086,2048.9833600556626,死叉,37.44999999999982,1,0.08333333333333333,2.0
315,2023-11-18 07:30:00,1960.82,1951.5601020751385,1950.9531029218579,金叉,73.93000000000006,1,1.4375,34.5
322,2023-11-21 08:30:00,2023.63,2027.0518843653495,2027.3112950594727,死叉,56.830000000000155,7,3.0416666666666665,73.0
325,2023-11-22 13:30:00,1984.28,1978.255607905094,1977.6356155317387,金叉,36.950000000000045,3,1.2083333333333333,29.0
326,2023-11-23 21:30:00,2052.94,2061.923133863152,2062.887559676523,死叉,68.66000000000008,1,1.3333333333333333,32.0
335,2023-11-28 08:00:00,2032.24,2020.3420267623812,2020.2222744518049,金叉,30.089999999999918,9,4.4375,106.5
344,2023-12-01 23:30:00,2080.16,2082.9857473778516,2083.368932806054,死叉,43.069999999999936,9,3.6458333333333335,87.5
