sequence,open_time_china,close,ema9,ema26,crossover_type,price_diff_abs,sequence_interval,time_interval_days,time_interval_hours
4,2025-07-04 00:30:00,2572.12,2584.518156404817,2585.736467344431,死叉,132.55999999999995,0,0.0,0.0
16,2025-07-12 06:00:00,2931.58,2974.7755235240083,2978.371237520836,死叉,379.42999999999984,12,8.229166666666666,197.5
24,2025-07-19 00:00:00,3572.46,3586.3306558532413,3587.935349420886,死叉,541.4499999999998,8,6.75,162.0
30,2025-07-22 02:00:00,3787.68,3789.2899280099878,3789.349145193135,死叉,210.0699999999997,6,3.0833333333333335,74.0
57,2025-08-03 13:00:00,3452.69,3437.0948939575846,3434.8160572953093,金叉,348.8600000000001,27,12.458333333333334,299.0
58,2025-08-05 13:00:00,3658.49,3666.7509241604585,3667.744050353859,死叉,205.79999999999973,1,2.0,48.0
66,2025-08-10 13:30:00,4220.54,4243.042524172924,4243.721610372997,死叉,583.3699999999999,8,5.020833333333333,120.5
74,2025-08-14 19:00:00,4707.53,4732.751776472067,4734.56567494003,死叉,413.6199999999999,8,4.229166666666667,101.5
85,2025-08-19 01:00:00,4353.62,4325.637069953188,4325.137067360957,金叉,126.0600000000004,11,4.25,102.0
95,2025-08-22 22:00:00,4576.32,4337.487587323197,4305.6636795320865,金叉,346.39999999999964,10,3.875,93.0
96,2025-08-23 19:30:00,4704.93,4718.874542125046,4721.039913629795,死叉,128.61000000000058,1,0.8958333333333334,21.5
101,2025-08-26 20:30:00,4497.24,4438.524534251332,4436.24448651077,金叉,232.21000000000004,5,3.0416666666666665,73.0
105,2025-08-30 13:00:00,4375.58,4349.436123736497,4347.264955835973,金叉,140.8800000000001,4,3.6875,88.5
130,2025-09-13 23:00:00,4680.83,4701.646101479336,4702.961539345315,死叉,321.0,25,14.416666666666666,346.0
151,2025-09-23 14:30:00,4205.56,4187.6598403061125,4186.679048771875,金叉,252.0699999999997,21,9.645833333333334,231.5
159,2025-09-26 11:30:00,3965.32,3941.5430483279615,3940.5009923634716,金叉,197.57999999999947,8,2.875,69.0
168,2025-09-30 16:00:00,4177.71,4188.131901100928,4188.15031582903,死叉,153.07000000000016,9,4.1875,100.5
174,2025-10-03 16:00:00,4449.38,4469.992588176038,4470.386300484185,死叉,283.1300000000001,6,3.0,72.0
182,2025-10-07 16:30:00,4670.36,4677.467925175095,4678.220246040707,死叉,132.03999999999996,8,4.020833333333333,96.5
189,2025-10-12 12:30:00,3801.9,3770.0348391026973,3769.3278570067773,金叉,542.5899999999997,7,4.833333333333333,116.0
190,2025-10-13 19:30:00,4080.39,4125.489500096675,4128.51183070719,死叉,278.4899999999998,1,1.2916666666666667,31.0
